doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86744827	0602	5	1	41454	273/1283/19	"2019-12-27 00:00:00+02"	"2020-01-02 00:00:00+02"	"Васильчук О. В."	http://od.reyestr.court.gov.ua/files/43/a8efc0bc0279f2c2266f060eab25d38c.rtf	1	"2020-01-03 00:00:00+02"
86743864	1570	5	4	40155	420/8106/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Вовченко О. А."	http://od.reyestr.court.gov.ua/files/43/21459abff176b32ac9ab1df89391b96f.rtf	1	"2020-01-03 00:00:00+02"
86743578	1570	5	4	40148	420/8114/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Вовченко О. А."	http://od.reyestr.court.gov.ua/files/43/c6932a7d08c24763a623e0884057a995.rtf	1	"2020-01-03 00:00:00+02"
86745330	1004	3	1	40348	358/1723/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Тітов М. Б."	http://od.reyestr.court.gov.ua/files/43/1f0791f3ac00fc62f2854a96fb79bff0.rtf	1	"2020-01-03 00:00:00+02"
86744807	0315	5	1	40369	168/898/19	"2019-12-27 00:00:00+02"	"2020-01-02 00:00:00+02"	"Назарук О. В."	http://od.reyestr.court.gov.ua/files/43/2d9fee94c8576a9b405c006e43863904.rtf	1	"2020-01-03 00:00:00+02"
86741945	0503	5	1	40369	219/15116/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Давидовська Т. В."	http://od.reyestr.court.gov.ua/files/43/a7fb1586ee49d64f3bc590ebbf89f554.rtf	1	"2020-01-03 00:00:00+02"
86743757	1470	5	4	40149	400/4760/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Мороз А. О."	http://od.reyestr.court.gov.ua/files/43/3556fe00e660c065b8f349b14d69c11f.rtf	1	"2020-01-03 00:00:00+02"
86743547	1470	5	4	40117	400/4363/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Мороз А. О."	http://od.reyestr.court.gov.ua/files/43/272a0838216534284630a32a7c34b3f3.rtf	1	"2020-01-03 00:00:00+02"
86743932	1670	5	4	40148	440/5179/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/2b57e857580fb99f1d26000028dc5f87.rtf	1	"2020-01-03 00:00:00+02"
86743651	1670	5	4	40038	440/5246/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/1a47a2220af4f5bc7a31c207e9b10a99.rtf	1	"2020-01-03 00:00:00+02"
86743646	1670	5	4	40148	440/5232/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/e9b82d4a92b3c5c7d67907806d9ce11c.rtf	1	"2020-01-03 00:00:00+02"
86743643	1670	5	4	40029	440/5034/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/6d72d12fa7378383f17fe3e71f917514.rtf	1	"2020-01-03 00:00:00+02"
86743639	1670	5	4	40151	440/5182/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/8fcde4b4791005f808b447455e5f4802.rtf	1	"2020-01-03 00:00:00+02"
86743626	1670	5	4	40098	440/5160/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.О. Кукоба"	http://od.reyestr.court.gov.ua/files/43/b58f2b32ef3106a58dd6f53971172164.rtf	1	"2020-01-03 00:00:00+02"
86744901	0604	2	5	40943	295/17524/19	"2019-12-24 00:00:00+02"	"2020-01-02 00:00:00+02"	"Костенко С. М."	http://od.reyestr.court.gov.ua/files/43/618994973d43154ae1122f7ddb8316a7.rtf	1	"2020-01-03 00:00:00+02"
86744572	4854	5	4	40140	400/1115/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Шляхтицький О.І."	http://od.reyestr.court.gov.ua/files/43/2f6d36d78f76358e38c8d894c74025d0.rtf	1	"2020-01-03 00:00:00+02"
86743291	0770	5	4	40099	260/1216/19	"2019-12-24 00:00:00+02"	"2020-01-02 00:00:00+02"	"Маєцька Н.Д."	http://od.reyestr.court.gov.ua/files/43/630a3fb8cb9af2b5ca198cfc0c6bbc33.rtf	1	"2020-01-03 00:00:00+02"
86746111	1015	2	5	40956	369/10112/19	"2019-12-20 00:00:00+02"	"2020-01-02 00:00:00+02"	"Хрипун С. В."	http://od.reyestr.court.gov.ua/files/43/77f2080412b9d07531e646c6fa1098ca.rtf	1	"2020-01-03 00:00:00+02"
86744084	2370	5	4	40149	580/4263/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"А.М. Бабич"	http://od.reyestr.court.gov.ua/files/43/781d73541acbca3027939effa790ec63.rtf	1	"2020-01-03 00:00:00+02"
86743649	1270	5	4	40140	360/5294/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Т.І. Чернявська"	http://od.reyestr.court.gov.ua/files/43/8f7246c6db2bf171b41b51036d84ed42.rtf	1	"2020-01-03 00:00:00+02"
86743282	0770	5	4	40056	260/1905/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Калинич Я.М."	http://od.reyestr.court.gov.ua/files/43/65ddc0f2e0418c35dce66e5fde5e14bf.rtf	1	"2020-01-03 00:00:00+02"
86744019	1770	5	4	40148	460/4640/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Борискін С.А."	http://od.reyestr.court.gov.ua/files/43/747b7d671c3758da505cc0e0df7f2342.rtf	1	"2020-01-03 00:00:00+02"
86745152	0618	2	5	41237	287/1564/19	"2019-12-09 00:00:00+02"	"2020-01-02 00:00:00+02"	"Волощук В. В."	http://od.reyestr.court.gov.ua/files/43/da3512814d1f69e348ee856229cb0ea5.rtf	1	"2020-01-03 00:00:00+02"
86743226	0670	5	4	12300	806/7587/13-а	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Романченко Євген Юрійович"	http://od.reyestr.court.gov.ua/files/43/1368c0813943a5d072112d0b157393b9.rtf	1	"2020-01-03 00:00:00+02"
86743178	0570	5	4	40050	200/14829/19-а	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Волгіна Н.П."	http://od.reyestr.court.gov.ua/files/43/ea5316bdbd68e855a345805abf1ffcdf.rtf	1	"2020-01-03 00:00:00+02"
86743217	0670	5	4	5782	2а-8013/10/0670	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Романченко Євген Юрійович"	http://od.reyestr.court.gov.ua/files/43/1f41013eb92a4e893c17b55d02009b92.rtf	1	"2020-01-03 00:00:00+02"
86741799	0213	2	5	41237	141/923/19	"2019-12-24 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кривенко Д. Т."	http://od.reyestr.court.gov.ua/files/43/6596e8c9650ec354896a445bad838631.rtf	1	"2020-01-03 00:00:00+02"
86745989	1015	5	1	40414	369/15245/19	"2019-11-26 00:00:00+02"	"2020-01-02 00:00:00+02"	"Пінкевич Н. С."	http://od.reyestr.court.gov.ua/files/43/b4811b5f1ea89dd4efc83a39ee0de612.rtf	1	"2020-01-03 00:00:00+02"
86743620	1670	5	4	40149	440/4624/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"С.С. Сич"	http://od.reyestr.court.gov.ua/files/43/ac19d67953f2085c2a2c0bc12bf19815.rtf	1	"2020-01-03 00:00:00+02"
86744052	2370	5	4	40149	580/4244/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"А.М. Бабич"	http://od.reyestr.court.gov.ua/files/43/4c598c3476f9306a83693483db10d660.rtf	1	"2020-01-03 00:00:00+02"
86744047	2370	5	4	40148	580/3997/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"А.М. Бабич"	http://od.reyestr.court.gov.ua/files/43/70278351fbd31c5d3509b4580c4f6934.rtf	1	"2020-01-03 00:00:00+02"
86746078	1015	5	1	41462	369/16240/19	"2019-12-20 00:00:00+02"	"2020-01-02 00:00:00+02"	"Ковальчук Л. М."	http://od.reyestr.court.gov.ua/files/43/3bfbfaea67c92c37ae92e31b32bb8633.rtf	1	"2020-01-03 00:00:00+02"
86741129	1021	3	1	40377	375/2033/19	"2019-12-27 00:00:00+02"	"2020-01-02 00:00:00+02"	"Литвин О. В."	http://od.reyestr.court.gov.ua/files/43/b3862393460a06957512fbc198ab849c.rtf	1	"2020-01-03 00:00:00+02"
